"","break_date","test_result_word","test_result","p_value","test_stat","logLikUR","logLikR"
"1",2001-01-01,"h0_not_rejected","TRUE","0.932071197686199","1.32755227146663","2214.95063384249","2214.28685770676"
"2",2001-04-01,"h0_not_rejected","TRUE","0.740097291342024","2.73932698240242","2215.65652119796","2214.28685770676"
"3",2001-07-01,"h0_not_rejected","TRUE","0.922605611414026","1.4155421254236","2214.99462876947","2214.28685770676"
"4",2001-10-01,"h0_not_rejected","TRUE","0.909980929042843","1.52659136220791","2215.05015338786","2214.28685770676"
"5",2002-01-01,"h0_not_rejected","TRUE","0.637018252321023","3.4101911726284","2215.99195329307","2214.28685770676"
"6",2002-04-01,"h0_not_rejected","TRUE","0.455761970787169","4.68312354751106","2216.62841948051","2214.28685770676"
"7",2002-07-01,"h0_not_rejected","TRUE","0.0881925438121869","9.57562210195101","2219.07466875773","2214.28685770676"
"8",2002-10-01,"h0_not_rejected","TRUE","0.569536898294514","3.86141232508817","2216.2175638693","2214.28685770676"
"9",2003-01-01,"h0_not_rejected","TRUE","0.627780680426725","3.47099663205245","2216.02235602278","2214.28685770676"
"10",2003-04-01,"h0_not_rejected","TRUE","0.999992639079735","0.0287219871033813","2214.30121870031","2214.28685770676"
"11",2003-07-01,"h0_not_rejected","TRUE","0.954557591155589","1.09486045526319","2214.83428793439","2214.28685770676"
"12",2003-10-01,"h0_not_rejected","TRUE","0.921298893327962","1.42734430951805","2215.00052986152","2214.28685770676"
"13",2004-01-01,"h0_not_rejected","TRUE","0.896782151209989","1.63664980239446","2215.10518260795","2214.28685770676"
