"","1lag(s)","2lag(s)","5lag(s)","10lag(s)","20lag(s)","40lag(s)"
"corr epsilon+",0.00267139014658314,0.0124677706195647,0.0792670699759114,0.0681309911695269,0.00554041740189094,-0.00322197998873934
"corr epsilon-",-0.0126586624059229,-0.0576839619261299,-0.012342776930945,0.000990834511569959,-0.0373152676171321,-0.0112888075575721
"p-val epsilon+",0.457451766428949,0.30899155880656,0.000760405557245214,0.00321274150840023,0.412306142040509,0.448726617872601
"p-val epsilon-",0.306306713794396,0.0105174220167101,0.310755120489867,0.484192707288453,0.0677695598094091,0.325795769099714
