"","1lag(s)","2lag(s)","5lag(s)","10lag(s)","20lag(s)","40lag(s)"
"corr epsilon+",-0.0539390276936026,-0.00153407197908736,-0.0221340339739675,-0.0154871968291137,0.0051866963198059,-0.0208120004575393
"corr epsilon-",0.0620807643148016,0.037731783389646,0.0467522953243746,0.0270502005744777,0.0212682615759824,-0.0108958075940472
"p-val epsilon+",0.0154809856337111,0.475535107380191,0.187980883080587,0.267797504168827,0.417822248113189,0.202569026126113
"p-val epsilon-",0.00650983918368297,0.0656147283993836,0.0307355345978002,0.139624481494402,0.197459548481502,0.331479202156431
