"","break_date","test_result_word","test_result","p_value","test_stat","logLikUR","logLikR"
"63",2016-07-01,"h0_not_rejected","TRUE","1","-6881.223407435","5698.8672962825","9139.479"
"64",2016-10-01,"h0_not_rejected","TRUE","1","-6434.51064774089","5922.22367612955","9139.479"
"65",2017-01-01,"h0_not_rejected","TRUE","1","-5974.97913791527","6151.98943104237","9139.479"
"66",2017-04-01,"h0_not_rejected","TRUE","1","-5517.58318418786","6380.68740790607","9139.479"
"67",2017-07-01,"h0_not_rejected","TRUE","1","-5051.09094023329","6613.93352988335","9139.479"
"68",2017-10-01,"h0_not_rejected","TRUE","1","-4512.48542390619","6883.2362880469","9139.479"
"69",2018-01-01,"h0_not_rejected","TRUE","1","-3985.6820123539","7146.63799382305","9139.479"
"70",2018-04-01,"h0_not_rejected","TRUE","1","-3511.16643005245","7383.89578497378","9139.479"
"71",2018-07-01,"h0_not_rejected","TRUE","1","-3095.85500054054","7591.55149972973","9139.479"
"72",2018-10-01,"h0_not_rejected","TRUE","1","-2599.73557170815","7839.61121414592","9139.479"
"73",2019-01-01,"h0_not_rejected","TRUE","1","-2183.11906012937","8047.91946993531","9139.479"
"74",2019-04-01,"h0_not_rejected","TRUE","1","-1709.15275657404","8284.90262171298","9139.479"
