"","break_date","test_result_word","test_result","p_value","test_stat","logLikUR","logLikR"
"63",2016-07-01,"h0_not_rejected","TRUE","1","-10043.9830823802","8821.83845880989","13843.83"
"64",2016-10-01,"h0_not_rejected","TRUE","1","-9310.09682584059","9188.78158707971","13843.83"
"65",2017-01-01,"h0_not_rejected","TRUE","1","-8651.14366147714","9518.25816926143","13843.83"
"66",2017-04-01,"h0_not_rejected","TRUE","1","-8035.70557734605","9825.97721132698","13843.83"
"67",2017-07-01,"h0_not_rejected","TRUE","1","-7438.08678722433","10124.7866063878","13843.83"
"68",2017-10-01,"h0_not_rejected","TRUE","1","-6685.6834525483","10500.9882737258","13843.83"
"69",2018-01-01,"h0_not_rejected","TRUE","1","-5947.36293065724","10870.1485346714","13843.83"
"70",2018-04-01,"h0_not_rejected","TRUE","1","-5307.67024656672","11189.9948767166","13843.83"
"71",2018-07-01,"h0_not_rejected","TRUE","1","-4827.89240492925","11429.8837975354","13843.83"
"72",2018-10-01,"h0_not_rejected","TRUE","1","-4134.37589470097","11776.6420526495","13843.83"
"73",2019-01-01,"h0_not_rejected","TRUE","1","-3465.37843363942","12111.1407831803","13843.83"
"74",2019-04-01,"h0_not_rejected","TRUE","1","-2784.77396439618","12451.4430178019","13843.83"
