"","break_date","test_result_word","test_result","p_value","test_stat","logLikUR","logLikR"
"1",2001-01-01,"h0_rejected","FALSE","1.65100311200206e-09","49.6282785382009","7604.9702444842","7580.1561052151"
"2",2001-04-01,"h0_rejected","FALSE","3.52554740956634e-09","48.0158571418269","7604.16403378602","7580.1561052151"
"3",2001-07-01,"h0_rejected","FALSE","1.8354263553455e-08","44.4975692518274","7602.40488984102","7580.1561052151"
"4",2001-10-01,"h0_rejected","FALSE","1.42359901644795e-10","54.816940787905","7607.56457560906","7580.1561052151"
"5",2002-01-01,"h0_rejected","FALSE","1.99548377821657e-10","54.1036667262415","7607.20793857822","7580.1561052151"
"6",2002-04-01,"h0_rejected","FALSE","3.53461704349911e-12","62.5930445037648","7611.45262746699","7580.1561052151"
"7",2002-07-01,"h0_rejected","FALSE","1.48217969009323e-08","44.9543996068987","7602.63330501855","7580.1561052151"
"8",2002-10-01,"h0_rejected","FALSE","7.08973413954261e-06","31.6121902345603","7595.96220033238","7580.1561052151"
"9",2003-01-01,"h0_rejected","FALSE","3.71521204860503e-05","27.954482742658","7594.13334658643","7580.1561052151"
"10",2003-04-01,"h0_rejected","FALSE","0.000109502464456845","25.5412387953384","7592.92672461277","7580.1561052151"
"11",2003-07-01,"h0_rejected","FALSE","4.887110372509e-05","27.3445739133858","7593.8283921718","7580.1561052151"
"12",2003-10-01,"h0_rejected","FALSE","0.000641643742090525","21.5348712728355","7590.92354085152","7580.1561052151"
"13",2004-01-01,"h0_rejected","FALSE","0.000318867765240594","23.1294112312899","7591.72081083075","7580.1561052151"
"14",2004-04-01,"h0_rejected","FALSE","2.82755891078956e-06","33.6248374850074","7596.96852395761","7580.1561052151"
"15",2004-07-01,"h0_rejected","FALSE","5.7719736668016e-07","37.0801308359187","7598.69617063306","7580.1561052151"
"16",2004-10-01,"h0_rejected","FALSE","4.9453774408903e-12","61.8884760240107","7611.10034322711","7580.1561052151"
"17",2005-01-01,"h0_rejected","FALSE","1.66533453693773e-15","78.5146421068348","7619.41342626852","7580.1561052151"
"18",2005-04-01,"h0_rejected","FALSE","6.26165785888588e-14","71.0277885367268","7615.66999948347","7580.1561052151"
"19",2005-07-01,"h0_rejected","FALSE","1.04860564675846e-12","65.1393154012294","7612.72576291572","7580.1561052151"
"20",2005-10-01,"h0_rejected","FALSE","9.86576154105023e-10","50.7208533054145","7605.51653186781","7580.1561052151"
"21",2006-01-01,"h0_rejected","FALSE","1.10630015148772e-08","45.578993175568","7602.94560180289","7580.1561052151"
"22",2006-04-01,"h0_rejected","FALSE","4.20013926971663e-08","42.7254234819848","7601.5188169561","7580.1561052151"
"23",2006-07-01,"h0_rejected","FALSE","8.53330861749768e-07","36.2325063848875","7598.27235840755","7580.1561052151"
"24",2006-10-01,"h0_rejected","FALSE","1.25988558560275e-05","30.3474156359516","7595.32981303308","7580.1561052151"
"25",2007-01-01,"h0_rejected","FALSE","0.000197782223855802","24.2106404863389","7592.26142545827","7580.1561052151"
