"rub","oil"
"2000-01-07",0.0121930200778749,-0.00852883634752044
"2000-01-11",0.0181955529420183,0.0245359178053756
"2000-01-12",0.0252817453073536,0.0284262188360255
"2000-01-13",0.0143133880190685,0.0113086827143544
"2000-01-14",-0.00695654979336005,0.0238106486937186
"2000-01-18",-0.00279622691806682,0.0312706428878209
"2000-01-19",0,-0.00533537851014677
"2000-01-20",-0.00175162069658652,0.00343315233259571
"2000-01-21",-0.000350692621514514,0.0344345398483475
"2000-01-25",-0.00245829798954047,0.00220507255831398
"2000-01-26",0.00175654357477676,-0.00220507255831387
"2000-01-27",0.00210378759220239,-0.00998344398418315
"2000-01-28",0,-0.011962759483886
"2000-02-01",0,0.0281813236130618
"2000-02-02",0,-0.00733948248804591
"2000-02-03",0.00314740599042572,0.0164387263431599
"2000-02-04",0.00452883547101161,-0.00435730536895581
"2000-02-08",-0.000347644710610493,0.00471955858791444
"2000-02-09",-0.00139178867282261,-0.00617622308437847
"2000-02-10",-0.00104511418674989,-0.0043827681550952
"2000-02-11",-0.00104620759324762,0.0181361517927076
"2000-02-15",0.00383075516343076,0.0107258804471672
"2000-02-16",-0.00173943338343311,-0.000355682024023687
"2000-02-17",-0.000348250047050731,-0.0204858916179317
"2000-02-18",0.00278261049111176,-0.0102190670321221
"2000-02-22",-0.00173822397320562,-0.00146842904506668
"2000-02-23",0.00451311302396497,0.0253912806708518
"2000-02-24",-0.001386482024533,0.0103332471197332
"2000-02-25",-0.0010411245084105,0.0112796402115036
"2000-02-29",-0.00487296474187444,0.0166844329079041
"2000-03-01",-0.000348979239277313,0.0261964291225502
"2000-03-02",-0.000349101068303657,0.0113523756758298
"2000-03-03",-0.00139762426663797,-0.00967480440503578
"2000-03-07",-0.000699545324085656,0.0680314082000335
"2000-03-08",-0.00105023639970203,-0.0164196931761355
"2000-03-10",-0.000700770876610586,-0.0808655017692962
"2000-03-14",-0.00105207795080378,-0.0048443001309482
"2000-03-15",-0.000350938764788006,-0.0281411464736138
"2000-03-16",-0.00105355584811055,-0.00214285796282865
"2000-03-17",-0.00105466699879797,-0.00358166572001149
"2000-03-21",-0.00140795517802858,-0.11147894395839
"2000-03-22",-0.000352298752983261,0.0331391271288071
"2000-03-23",-0.000704970067969821,-0.0176164273882982
"2000-03-24",-0.000705467401392371,0.0164516048920051
"2000-03-28",-0.00105913513872617,-0.037202548997044
"2000-03-29",-0.000706713810332402,-0.042419371798834
"2000-03-30",-0.000707213607976809,0.00712641875772461
"2000-03-31",0.00669842095620735,0.00166944946954099
"2000-04-04",0.0111811087975155,-0.0304850025088498
"2000-04-05",-0.000695168606375856,-0.0121108746699088
"2000-04-06",-0.00139178867282261,-0.00348736186041575
"2000-04-07",-0.0013937284486038,-0.0118604509147479
"2000-04-11",-0.00174489662139594,-0.0723758995170555
"2000-04-12",-0.00139811277580325,0.0164903618994152
"2000-04-13",-0.00104986886283681,0.0567689299012372
"2000-04-14",-0.00105097224597489,-0.0232256978660847
"2000-04-18",0.00245055260039819,0.0241083104564796
"2000-04-19",0.00627398363341485,0.0359579566306756
"2000-04-20",-0.00557492733091687,0.00297429579792646
"2000-04-25",-0.00314960890289622,-0.00894955898801351
"2000-04-26",0,-0.0198882473998323
"2000-04-27",-0.00245657256370234,0.00739616162546847
"2000-04-28",-0.00105466699879797,0.0307322521292039
"2000-05-04",-0.00176025393101179,0.052007625153056
"2000-05-05",-0.000704970067969821,-0.00520105193245566
"2000-05-11",-0.000705467401392371,0.0878800996878534
"2000-05-12",-0.000705965437015311,0.0275379720140151
"2000-05-16",-0.00141342779714696,0.0281907322218866
"2000-05-17",-0.000353669322873128,-0.0132915562920614
"2000-05-18",0,0.0174524499512262
"2000-05-19",0.00212014213692612,0.00379900301492634
"2000-05-23",-0.00105950919323321,-0.0311595311908485
"2000-05-24",-0.000353419335716214,0.0297797448387949
"2000-05-25",-0.000353544285103794,0.0221889970583937
"2000-05-26",0,0.0157430818023011
"2000-05-30",-0.000353669322873128,-0.0066689143461073
"2000-05-31",-0.000707714113049032,-0.00839917586796036
"2000-06-01",-0.000708215327051997,0.0016854883477824
"2000-06-02",0.000708215327052029,-0.011517742501563
"2000-06-06",0.0031807766700844,-0.0321994236051509
"2000-06-07",-0.000705965437015311,-0.00352485384343558
"2000-06-08",-0.000706464176327106,0.0353835038893167
"2000-06-09",-0.00106063294369302,-0.0116559427283617
"2000-06-14",0.0056437539574095,0.0378935729452188
"2000-06-15",-0.0035236118204833,-0.0116882279040079
"2000-06-16",-0.00141292852894936,-0.0373011592962654
"2000-06-20",-0.00176897268843451,0.00625653761430514
"2000-06-21",-0.000354170359643278,0.0621317811070062
"2000-06-22",-0.000354295840730032,-0.00326158149540996
"2000-06-23",-0.00106364129864671,0.0133054047910717
"2000-06-27",-0.00213068262425581,-0.0178895647507751
"2000-06-28",-0.000711237583325006,0.0220716522358445
"2000-06-29",-0.000711743802288184,-0.00321543685397435
"2000-06-30",-0.000712250742361209,0.0169252004480082
"2000-07-04",-0.00142602519709414,-0.0272846326851027
"2000-07-05",0,-0.0124428586368859
"2000-07-06",0,0.010488460620653
"2000-07-07",-0.000713775904679786,-0.00163158789662251
"2000-07-11",-0.00142908205814885,-0.0261387917028806
"2000-07-12",-0.00178922931969656,0.0146425245069701
"2000-07-13",-0.000716589066851944,0.0286571221998347
"2000-07-14",-0.00107584733346301,-0.0106504153414924
"2000-07-18",-0.00143626595605747,-0.0796642372302634
"2000-07-19",-0.00071890729192597,-0.00457827881928121
"2000-07-20",-0.0021598280534299,-0.0170883474691321
