"Date","rub","oil"
"1",2008-01-10,0,0
"2",2008-01-11,0.00142576554775698,-0.00963151287126372
"3",2008-01-15,-0.00796826678661856,-0.0102863171671479
"4",2008-01-16,-0.000472854842793459,-0.0304079327418782
"5",2008-01-17,0.00184727097957416,0.0102637455833821
"6",2008-01-18,0.00661670258604061,0.0083873562482649
"7",2008-01-22,0.00550336252113414,-0.0168892568254112
"8",2008-01-23,0.00968961830509158,-0.0114390497312431
"9",2008-01-24,-0.0107141160492065,0.00775977969035655
"10",2008-01-25,-0.000148983186352976,0.0371614296742601
"11",2008-01-29,-0.00185924546835632,0.0172301291471318
"12",2008-01-30,-0.00514552422603364,0.000225036017154465
"13",2008-01-31,-0.00018921110446204,-0.00901376330788618
"14",2008-02-01,-0.00229947198888916,-0.0013085775399783
"15",2008-02-05,0.0009033321723271,-0.0194501136615988
"16",2008-02-06,0.00248149112680505,-0.00920782111039453
"17",2008-02-07,0.00583186918948211,-0.00148123859516017
"18",2008-02-08,-0.00121970203662966,0.032774458631276
"19",2008-02-12,0.00076336065197545,0.0310261512542995
"20",2008-02-13,-0.000968151336894901,-0.00434157714437465
"21",2008-02-14,0.000232104781449159,0.0226859058421907
"22",2008-02-15,-0.00131324620871553,0.0113334596249892
"23",2008-02-19,-0.00278624166750123,0.0012711347394476
"24",2008-02-20,-0.00253166973763388,0.00927147756050654
"25",2008-02-21,0.00089483485442096,-0.00313530537821109
"26",2008-02-22,-0.00100845521091415,-0.0144309447281252
"27",2008-02-27,-0.00327178571266233,0.023292903254575
"28",2008-02-28,-0.0109016898727247,0.0161976397185991
"29",2008-02-29,-0.00358716412476365,0.0112106360344733
"30",2008-03-04,-0.00463487973925058,-0.0225092177277299
"31",2008-03-05,0.00132251736740536,0.0241035311735006
"32",2008-03-06,-0.000275519567701057,0.0252058188812564
"33",2008-03-07,-0.00493148997775734,0.0119847333504464
"34",2008-03-12,-0.00343512485542358,0.0318710773238503
"35",2008-03-13,-0.000774659436246211,0.0115087141321871
"36",2008-03-14,-0.00671277103652042,0.000366247509769811
"37",2008-03-18,-0.00786428462762968,-0.0349771075666959
"38",2008-03-19,0.000599586069974301,-0.0254135487620116
"39",2008-03-20,0.00084085523658674,-0.0278079330088075
"40",2008-03-25,0.0114431630944167,0.00185146633527973
"41",2008-03-26,-0.00588845350929932,0.0293568065194159
"42",2008-03-27,-0.00215109675415586,0.0108049558645849
"43",2008-03-28,-0.0061311498694483,-0.0111658430562568
"44",2008-04-01,-0.00085891863561857,-0.0390842837957802
"45",2008-04-02,0.00303293535648552,0.00216937345595388
"46",2008-04-03,0.00359270683467902,0.0349533182974666
"47",2008-04-04,-0.00258537538400531,-0.00042845152661998
"48",2008-04-08,-0.000775868689916636,0.0279563549732683
"49",2008-04-09,-0.003208068331162,0.0232317060329097
"50",2008-04-10,0.000208166630994548,-0.000288423831387412
"51",2008-04-11,-0.00368849125227008,-0.00150164350321427
"52",2008-04-15,0.00192913676455983,0.0344074460984353
"53",2008-04-16,-0.00275871805713974,0.00154137740706902
"54",2008-04-17,-0.00053210609801449,0.00405838140000247
"55",2008-04-18,-0.00357415813975358,-0.00548633445542398
"56",2008-04-22,0.00402765661823829,0.02615184548913
"57",2008-04-23,-0.00197347896747696,0.0162785384679303
"58",2008-04-24,-0.00388513393123082,-0.00370791102891559
"59",2008-04-25,0.0037848961317553,0.0158433046821465
"60",2008-04-29,0.00675150064242653,-0.0234017142478303
"61",2008-04-30,0.00159059575661162,-0.0238094770536036
"62",2008-05-01,0.000248242202660544,-0.0344326007861918
"63",2008-05-06,-0.00153328226042661,0.0362129320612516
"64",2008-05-07,-0.000991534274022355,0.00379742089730655
"65",2008-05-08,3.57070433278293e-05,-0.00294880641888818
"66",2008-05-09,0.00525369134039046,0.0308734774106036
"67",2008-05-13,-0.00236309746686768,-0.00293727758498573
"68",2008-05-14,-0.00499483558433082,-0.0152517731194367
"69",2008-05-15,0.00531149480930341,0.0135036342579362
"70",2008-05-16,-0.000409931678784018,0.00233995879703207
"71",2008-05-20,-0.00547638982300604,0.00977654707809966
"72",2008-05-21,0.00069734332563626,0.0256899924725958
"73",2008-05-22,-0.00272566717570945,0.0142824978106657
"74",2008-05-23,-0.00496890969597133,0.00580529564540769
"75",2008-05-27,-0.0014135418701146,-0.00563677646863644
"76",2008-05-28,-0.000119021077205549,0.000627012498753092
"77",2008-05-29,0.00117076537454782,0.00364710402765058
"78",2008-05-30,0.00319058608181933,-0.0109601276667137
"79",2008-06-03,0.00318723563100969,-0.0118065900241609
"80",2008-06-04,-0.00237523257398889,-0.0362288906377768
"81",2008-06-05,0.00417898080165797,0.00579364227717611
"82",2008-06-10,-0.0125256284579379,0.0186808904507698
"83",2008-06-11,0.0035684199841277,-0.00478864294437257
"84",2008-06-12,0.00245631080070321,-0.0175285299585623
"85",2008-06-17,0.00416626296819311,-0.00582919005170288
"86",2008-06-18,-0.00612162292453339,-0.0159646182704336
"87",2008-06-19,0.000531621768628159,0.0213963096627667
"88",2008-06-20,-0.00281537087468395,0.0188875539739163
"89",2008-06-24,-0.00054733019634098,0.0086340461091044
"90",2008-06-25,0.00108796492071181,-0.0277712940124019
"91",2008-06-26,-0.000712180832433295,0.0395246131940464
"92",2008-06-27,-0.00392939043007515,0.0190872707007647
"93",2008-07-01,-0.00526226351597767,0.00976215378247547
"94",2008-07-02,0.00240315128898821,0.00459329731382507
"95",2008-07-03,-0.00255852086266791,0.019554894021243
"96",2008-07-08,0.00589322744160786,-0.0699579921633078
