"ndp","des"
"2003-01-05",-0.0518341760378053,-0.0164921279209837
"2003-01-08",-0.0228008053507756,-0.0030280113976411
"2003-01-09",-0.0356845373747232,0.00453858570300804
"2003-01-10",-0.0350230347895632,-0.0106222546566228
"2003-01-13",0.0225168592843334,-0.00382117392732335
"2003-01-14",-0.0146272720091706,0.00686763477548853
"2003-01-15",-0.0168404177952475,0.00303720810544965
"2003-01-16",0.0477906638363485,0.0128062013792765
"2003-01-17",-0.0487901641694321,-0.00525329538334576
"2003-01-20",0.0554347068881005,0.00375516776232364
"2003-01-21",0.0614590445833987,0.014142401695219
"2003-01-22",-0.0757518081403242,-0.00667410708769313
"2003-01-23",-0.0233020252028441,-0.0074682946075258
"2003-01-24",-0.0299124993626001,-0.0097929219532436
"2003-01-27",0.0367651938246407,0.00754151387278631
"2003-01-28",0.0068060544689995,0.00748506488656693
"2003-01-29",0.00676004505771936,0.001490313241559
"2003-01-30",-0.00772950708226744,0.00519867490923768
"2003-01-31",-0.0275336960550245,-0.0224728558520586
"2003-02-03",0.00992071628674798,0.00679504313282881
"2003-02-04",0.00492369286178452,-0.000752728676866157
"2003-02-05",-0.0118578464507835,-0.0313601224402526
"2003-02-06",-0.0742609124308419,-0.0283706971292155
"2003-02-07",-0.0584188122926631,-0.0193710657559997
"2003-02-10",-0.0429051313402225,-0.0247537391529382
"2003-02-11",-0.0788585749123197,-0.0185502789797138
"2003-02-12",-0.0312525435041044,-0.0232468496987476
"2003-02-13",-0.0755334891449428,-0.040894587166652
"2003-02-14",0.00568991577767868,-0.029468062256908
"2003-02-17",-0.0085470605784583,-0.0351914583363133
"2003-02-18",-0.0696061803071574,-0.0364752115350402
"2003-02-19",0.0435177442228595,-0.00100452042600559
"2003-02-20",-0.0133039656263628,0.00100452042600571
"2003-02-21",-0.013483350337287,-0.00503272325461031
"2003-02-25",-0.00909097170125196,-0.0121828917994777
"2003-02-26",0.0255460924276966,0.0162110946280825
"2003-02-27",-0.0149479614358733,-0.0131514288041268
"2003-02-28",-0.0717936920187431,-0.00715383735661877
"2003-03-03",-0.00324149392417096,-0.00411100270652221
"2003-03-04",0.0674765709689874,0.0324243196706104
"2003-03-05",-0.00761618304530851,-0.0293394843194004
"2003-03-06",-0.109787561880186,-0.0123968529768287
"2003-03-07",0.015241615968617,0.00311365067327958
"2003-03-11",0.0507889655544688,-0.0104167608582556
"2003-03-12",-0.0242534119285031,-0.00524935588614379
"2003-03-13",-0.0434851119397389,-0.00739570196112902
"2003-03-14",-0.04189094170916,-0.0106610817861136
"2003-03-17",-0.00357143236759724,0.0117209652981569
"2003-03-18",0.21920018717932,0.0414997309067528
"2003-03-19",0.0213227694688212,0.0447168387817961
"2003-03-20",-0.143425466269721,-0.0611106485574726
"2003-03-21",0.0428977607040996,-0.00934101239313874
"2003-03-24",-0.00624026986008462,0.00416233691468733
"2003-03-25",0.00156372197618276,0.0020746895408603
"2003-03-26",0.00623054975063616,-0.00207468954086036
"2003-03-27",0.0933319397922191,0.00827305649319928
"2003-03-28",-0.0142452551360489,-0.0155685552399237
"2003-03-31",-0.0232231046110115,-0.00104657257067103
"2003-04-01",-0.123304860840691,-0.0362513042254234
"2003-04-02",-0.101308198452878,-0.00982004618097568
"2003-04-03",0.0218190473946397,-0.00219539056343562
"2003-04-04",-0.0199824995873382,0
"2003-04-07",0.0181823190831903,-0.00550965581096947
"2003-04-08",0.0423343638265607,0.0164387263431597
"2003-04-09",-0.00693243677564479,-0.00108754768739888
"2003-04-10",-0.0282205676422513,-0.00217865009922215
"2003-04-11",0.0624119323905306,0.0119242605297356
"2003-04-14",-0.0341913647482793,-0.0141076675106791
"2003-04-15",-0.0300110784160395,0.00218340698094358
"2003-04-16",-0.00900096085897606,-0.00766287274556914
"2003-04-17",-0.00543972329581821,-0.003302149395759
"2003-04-18",0.00724640852076725,-0.00552793005251305
"2003-04-21",0.0231946169804682,0.00662985853866958
"2003-04-22",0.00176211499339922,-0.00330943490136714
"2003-04-23",-0.0159719455660521,-0.0246097430959662
"2003-04-24",0.0856687945547978,0.0101409319760494
"2003-04-25",0.0162870049746991,0
"2003-04-28",0.0207841214622613,-0.0101409319760493
"2003-04-29",0.0326877351295736,0.0190695627203507
"2003-04-30",-0.0780029313416162,-0.0247481696891941
"2003-05-05",-0.0579378371062191,-0.00571103779551428
"2003-05-06",0.0242646219996311,-0.00114613193062257
"2003-05-07",-0.116072171252754,-0.0138570346614264
"2003-05-08",-0.0213807950249503,-0.0058309203107931
"2003-05-12",0.0701709591943823,0.00931322214666768
"2003-05-13",-0.0860128746600403,-0.0198953314772046
"2003-05-14",0.0841796935783794,0.00353982670512399
"2003-05-15",-0.116636903725761,-0.0359751024582779
"2003-05-16",-0.00828162083172199,0.00122025640522937
"2003-05-19",0.106399476790245,-0.00980400009662086
"2003-05-20",0.0166824999599363,-0.0211582255073459
"2003-05-21",-0.189701664091577,-0.0489788612168831
"2003-05-22",0.0707690708882072,0.0502359324069342
"2003-05-23",-0.139761942375159,-0.0358094526967109
"2003-05-26",0.106074546391483,0.0332937280994636
"2003-05-27",-0.0595545307565903,-0.0177895415634984
"2003-05-28",0.0973741640251762,0.0140040480840164
"2003-05-29",-0.055098680876938,-0.0295082346199817
"2003-05-30",-0.0445507969853738,0.0193429628431309
"2003-06-02",0.0618298445937261,-0.00127795544549196
"2003-06-03",-0.110847825144141,-0.012870190520535
"2003-06-04",-0.0490294272403185,0.00774197415361546
"2003-06-05",0.032141209211797,0.00895719360401675
