"rub","oil","oil_errors","rub_errors"
"2000-01-07",0.0121930200778749,-0.00852883634752044,0,0
"2000-01-11",0.0181955529420183,0.0245359178053756,0.0242557172284443,0.0180787720632227
"2000-01-12",0.0252817453073536,0.0284262188360255,0.0281460182590942,0.0240286354577485
"2000-01-13",0.0143133880190685,0.0113086827143544,0.0110284821374231,0.0126863035364565
"2000-01-14",-0.00695654979336005,0.0238106486937186,0.0235304481167873,-0.00787071968677159
"2000-01-18",-0.00279622691806682,0.0312706428878209,0.0309904423108896,-0.00241829904286508
"2000-01-19",0,-0.00533537851014677,-0.00561557908707806,3.52196692990399e-05
"2000-01-20",-0.00175162069658652,0.00343315233259571,0.00315295175566442,-0.00187061528383685
"2000-01-21",-0.000350692621514514,0.0344345398483475,0.0341543392714162,-0.000349897243868096
"2000-01-25",-0.00245829798954047,0.00220507255831398,0.00192487198138269,-0.00255308631410602
"2000-01-26",0.00175654357477676,-0.00220507255831387,-0.00248527313524516,0.0018002352066998
"2000-01-27",0.00210378759220239,-0.00998344398418315,-0.0102636445611144,0.0018738541490351
"2000-01-28",0,-0.011962759483886,-0.0122429600608173,-0.000234560711915595
"2000-02-01",0,0.0281813236130618,0.0279011230361305,-0.000102037724148222
"2000-02-02",0,-0.00733948248804591,-0.00761968306497719,-0.0001103673667684
"2000-02-03",0.00314740599042572,0.0164387263431599,0.0161585257662286,0.00303756217770141
"2000-02-04",0.00452883547101161,-0.00435730536895581,-0.0046375059458871,0.00422113067929276
"2000-02-08",-0.000347644710610493,0.00471955858791444,0.00443935801098315,-0.000729741898704081
"2000-02-09",-0.00139178867282261,-0.00617622308437847,-0.00645642366130976,-0.00146270211892917
"2000-02-10",-0.00104511418674989,-0.0043827681550952,-0.00466296873202649,-0.00106995791474838
"2000-02-11",-0.00104620759324762,0.0181361517927076,0.0178559512157763,-0.00109573699214054
"2000-02-15",0.00383075516343076,0.0107258804471672,0.0104456798702359,0.00378284609098363
"2000-02-16",-0.00173943338343311,-0.000355682024023687,-0.000635882600954972,-0.00209398249063861
"2000-02-17",-0.000348250047050731,-0.0204858916179317,-0.020766092194863,-0.00033341507493794
"2000-02-18",0.00278261049111176,-0.0102190670321221,-0.0104992676090534,0.00268678619098373
"2000-02-22",-0.00173822397320562,-0.00146842904506668,-0.00174862962199797,-0.00202388097790787
"2000-02-23",0.00451311302396497,0.0253912806708518,0.0251110800939205,0.00452354181298441
"2000-02-24",-0.001386482024533,0.0103332471197332,0.0100530465428019,-0.00178758705957036
"2000-02-25",-0.0010411245084105,0.0112796402115036,0.0109994396345723,-0.00104554781355398
"2000-02-29",-0.00487296474187444,0.0166844329079041,0.0164042323309728,-0.00492402842114164
"2000-03-01",-0.000348979239277313,0.0261964291225502,0.0259162285456189,-0.000156263647379833
"2000-03-02",-0.000349101068303657,0.0113523756758298,0.0110721750988985,-0.000456060101401966
"2000-03-03",-0.00139762426663797,-0.00967480440503578,-0.00995500498196706,-0.00148573979671185
"2000-03-07",-0.000699545324085656,0.0680314082000335,0.0677512076231022,-0.000722941034453685
"2000-03-08",-0.00105023639970203,-0.0164196931761355,-0.0166998937530668,-0.00112157730952389
"2000-03-14",-0.00105207795080378,-0.0048443001309482,-0.00512450070787949,-0.00109836284760696
"2000-03-15",-0.000350938764788006,-0.0281411464736138,-0.0284213470505451,-0.000398682790868647
"2000-03-16",-0.00105355584811055,-0.00214285796282865,-0.00242305853975994,-0.0011452777901685
"2000-03-17",-0.00105466699879797,-0.00358166572001149,-0.00386186629694278,-0.00109946221794581
"2000-03-22",-0.000352298752983261,0.0331391271288071,0.0328589265518758,-0.000399973678886007
"2000-03-23",-0.000704970067969821,-0.0176164273882982,-0.0178966279652295,-0.000796610872135938
"2000-03-24",-0.000705467401392371,0.0164516048920051,0.0161714043150738,-0.000772177843473369
"2000-03-28",-0.00105913513872617,-0.037202548997044,-0.0374827495739753,-0.00112738130227192
"2000-03-29",-0.000706713810332402,-0.042419371798834,-0.0426995723757653,-0.000752633901103244
"2000-03-30",-0.000707213607976809,0.00712641875772461,0.00684621818079333,-0.000776688192780452
"2000-03-31",0.00669842095620735,0.00166944946954099,0.0013892488926097,0.00663045828761182
"2000-04-04",0.0111811087975155,-0.0304850025088498,-0.0307652030857811,0.0106475749547681
"2000-04-05",-0.000695168606375856,-0.0121108746699088,-0.0123910752468401,-0.001481195595895
"2000-04-06",-0.00139178867282261,-0.00348736186041575,-0.00376756243734704,-0.00141547000585457
"2000-04-07",-0.0013937284486038,-0.0118604509147479,-0.0121406514916792,-0.00142154091907283
"2000-04-11",-0.00174489662139594,-0.0723758995170555,-0.0726561000939868,-0.00177232750872729
"2000-04-12",-0.00139811277580325,0.0164903618994152,0.0162101613224839,-0.00140349520967759
"2000-04-13",-0.00104986886283681,0.0567689299012372,0.0564887293243059,-0.00107843400100737
"2000-04-14",-0.00105097224597489,-0.0232256978660847,-0.023505898443016,-0.00109996888620802
"2000-04-18",0.00245055260039819,0.0241083104564796,0.0238281098795483,0.00240290952078583
"2000-04-19",0.00627398363341485,0.0359579566306756,0.0356777560537443,0.00600616950450941
"2000-04-20",-0.00557492733091687,0.00297429579792646,0.00269409522099517,-0.00606922192511857
"2000-04-25",-0.00314960890289622,-0.00894955898801351,-0.00922975956494479,-0.00288491294910242
"2000-04-26",0,-0.0198882473998323,-0.0201684479767636,6.45483702741857e-05
"2000-04-27",-0.00245657256370234,0.00739616162546847,0.00711596104853718,-0.00257741058658412
"2000-04-28",-0.00105466699879797,0.0307322521292039,0.0304520515522726,-0.00100944648120648
