"rub","oil","oil_errors","rub_errors"
"2000-01-07",0.0121930200778749,-0.00852883634752044,0,0
"2000-01-11",0.0181955529420183,0.0245359178053756,0.0245341797169282,0.0179427602080107
"2000-01-12",0.0252817453073536,0.0284262188360255,0.0300848109488775,0.025028952573346
"2000-01-13",0.0143133880190685,0.0113086827143544,0.0132305290630809,0.0140605952850609
"2000-01-14",-0.00695654979336005,0.0238106486937186,0.0245741620866501,-0.00720934252736768
"2000-01-18",-0.00279622691806682,0.0312706428878209,0.03288015649382,-0.00304901965207445
"2000-01-19",0,-0.00533537851014677,-0.00322105176610921,-0.000252792734007629
"2000-01-20",-0.00175162069658652,0.00343315233259571,0.00307037251968424,-0.00200441343059415
"2000-01-21",-0.000350692621514514,0.0344345398483475,0.0346651210294984,-0.000603485355522143
"2000-01-25",-0.00245829798954047,0.00220507255831398,0.00453349822944408,-0.0027110907235481
"2000-01-26",0.00175654357477676,-0.00220507255831387,-0.00205759476685552,0.00150375084076913
"2000-01-27",0.00210378759220239,-0.00998344398418315,-0.0101343979525364,0.00185099485819476
"2000-01-28",0,-0.011962759483886,-0.0126400709782848,-0.000252792734007629
"2000-02-01",0,0.0281813236130618,0.0273700730776161,-0.000252792734007629
"2000-02-02",0,-0.00733948248804591,-0.00543420804578184,-0.000252792734007629
"2000-02-03",0.00314740599042572,0.0164387263431599,0.0159403300683967,0.00289461325641809
"2000-02-04",0.00452883547101161,-0.00435730536895581,-0.00324664513446524,0.00427604273700398
"2000-02-08",-0.000347644710610493,0.00471955858791444,0.00442296437230894,-0.000600437444618122
"2000-02-09",-0.00139178867282261,-0.00617622308437847,-0.00585859159706871,-0.00164458140683024
"2000-02-10",-0.00104511418674989,-0.0043827681550952,-0.00480244739407541,-0.00129790692075752
"2000-02-11",-0.00104620759324762,0.0181361517927076,0.0178378345263008,-0.00129900032725525
"2000-02-15",0.00383075516343076,0.0107258804471672,0.0119514043994406,0.00357796242942313
"2000-02-16",-0.00173943338343311,-0.000355682024023687,0.000368393504252714,-0.00199222611744074
"2000-02-17",-0.000348250047050731,-0.0204858916179317,-0.0205116984863298,-0.00060104278105836
"2000-02-18",0.00278261049111176,-0.0102190670321221,-0.0116070725846033,0.00252981775710413
"2000-02-22",-0.00173822397320562,-0.00146842904506668,-0.00216168500364728,-0.00199101670721325
"2000-02-23",0.00451311302396497,0.0253912806708518,0.0252901749079881,0.00426032028995734
"2000-02-24",-0.001386482024533,0.0103332471197332,0.0120497211023357,-0.00163927475854063
"2000-02-25",-0.0010411245084105,0.0112796402115036,0.0119771464882547,-0.00129391724241813
"2000-02-29",-0.00487296474187444,0.0166844329079041,0.0174459810128449,-0.00512575747588207
"2000-03-01",-0.000348979239277313,0.0261964291225502,0.0273237161664937,-0.000601771973284942
"2000-03-02",-0.000349101068303657,0.0113523756758298,0.0131233335502308,-0.000601893802311286
"2000-03-03",-0.00139762426663797,-0.00967480440503578,-0.00890833433674789,-0.0016504170006456
"2000-03-07",-0.000699545324085656,0.0680314082000335,0.0673749821527836,-0.000952338058093285
"2000-03-08",-0.00105023639970203,-0.0164196931761355,-0.0118177884513234,-0.00130302913370966
"2000-03-10",-0.000700770876610586,-0.0808655017692962,-0.0819783502181816,-0.000953563610618215
"2000-03-14",-0.00105207795080378,-0.0048443001309482,-0.0103181561118585,-0.00130487068481141
"2000-03-15",-0.000350938764788006,-0.0281411464736138,-0.028470695319962,-0.000603731498795635
"2000-03-16",-0.00105355584811055,-0.00214285796282865,-0.0040488898201073,-0.00130634858211818
"2000-03-17",-0.00105466699879797,-0.00358166572001149,-0.00372840966562723,-0.0013074597328056
"2000-03-21",-0.00140795517802858,-0.11147894395839,-0.11172305112441,-0.00166074791203621
"2000-03-22",-0.000352298752983261,0.0331391271288071,0.0255936786753645,-0.00060509148699089
"2000-03-23",-0.000704970067969821,-0.0176164273882982,-0.0153756614851238,-0.00095776280197745
"2000-03-24",-0.000705467401392371,0.0164516048920051,0.0152577741879971,-0.0009582601354
"2000-03-28",-0.00105913513872617,-0.037202548997044,-0.0360910172792135,-0.0013119278727338
"2000-03-29",-0.000706713810332402,-0.042419371798834,-0.0449385830935041,-0.000959506544340031
"2000-03-30",-0.000707213607976809,0.00712641875772461,0.00425418832917314,-0.000960006341984438
"2000-03-31",0.00669842095620735,0.00166944946954099,0.00214995167813124,0.00644562822219972
"2000-04-04",0.0111811087975155,-0.0304850025088498,-0.0303737699965718,0.0109283160635079
"2000-04-05",-0.000695168606375856,-0.0121108746699088,-0.0141755137981145,-0.000947961340383485
"2000-04-06",-0.00139178867282261,-0.00348736186041575,-0.00430863525779695,-0.00164458140683024
"2000-04-07",-0.0013937284486038,-0.0118604509147479,-0.0120981765976125,-0.00164652118261143
"2000-04-11",-0.00174489662139594,-0.0723758995170555,-0.0731802268956607,-0.00199768935540357
"2000-04-12",-0.00139811277580325,0.0164903618994152,0.0115909919894244,-0.00165090550981088
"2000-04-13",-0.00104986886283681,0.0567689299012372,0.0578830842815018,-0.00130266159684444
"2000-04-14",-0.00105097224597489,-0.0232256978660847,-0.0193859179987692,-0.00130376497998252
"2000-04-18",0.00245055260039819,0.0241083104564796,0.0225349039299814,0.00219775986639056
"2000-04-19",0.00627398363341485,0.0359579566306756,0.0375876128218595,0.00602119089940722
"2000-04-20",-0.00557492733091687,0.00297429579792646,0.0054058101292375,-0.0058277200649245
"2000-04-25",-0.00314960890289622,-0.00894955898801351,-0.0087500283413736,-0.00340240163690385
"2000-04-26",0,-0.0198882473998323,-0.0204955965436304,-0.000252792734007629
