date,RUB,BRENT
2000-01-07,0.01219302007787526,-0.008528836347520663
2000-01-11,0.018195552942018356,0.024535917805375895
2000-01-12,0.025281745307353276,0.028426218836025363
2000-01-13,0.014313388019068451,0.011308682714354479
2000-01-14,-0.006956549793359912,0.023810648693718406
2000-01-18,-0.002796226918067024,0.03127064288782089
2000-01-19,0.0,-0.005335378510146871
2000-01-20,-0.001751620696586187,0.003433152332595668
2000-01-21,-0.0003506926215148809,0.034434539848347434
2000-01-25,-0.0024582979895404478,0.0022050725583140363
2000-01-26,0.0017565435747766145,-0.0022050725583140363
2000-01-27,0.002103787592202533,-0.009983443984182827
2000-01-28,0.0,-0.011962759483886032
2000-02-01,0.0,0.028181323613061693
2000-02-02,0.0,-0.007339482488045945
2000-02-03,0.0031474059904255114,0.016438726343160237
2000-02-04,0.004528835471012016,-0.004357305368956066
2000-02-08,-0.00034764471061077273,0.0047195585879147295
2000-02-09,-0.0013917886728225248,-0.006176223084378929
2000-02-10,-0.001045114186749796,-0.004382768155095196
2000-02-11,-0.0010462075932480275,0.01813615179270789
2000-02-15,0.003830755163431121,0.010725880447167047
2000-02-16,-0.0017394333834332976,-0.0003556820240233627
2000-02-17,-0.0003482500470508576,-0.020485891617931795
2000-02-18,0.0027826104911117255,-0.010219067032122275
2000-02-22,-0.0017382239732053328,-0.0014684290450666104
2000-02-23,0.004513113023964621,0.025391280670851835
2000-02-24,-0.0013864820245328424,0.010333247119733269
2000-02-25,-0.0010411245084105403,0.011279640211503406
2000-02-29,-0.004872964741874597,0.016684432907904334
2000-03-01,-0.00034897923927701413,0.026196429122550047
2000-03-02,-0.0003491010683038809,0.011352375675830029
2000-03-03,-0.0013976242666378091,-0.009674804405035875
2000-03-07,-0.0006995453240854488,0.06803140820003373
2000-03-08,-0.0010502363997022535,-0.016419693176135564
2000-03-10,-0.0007007708766106902,-0.08086550176929608
2000-03-14,-0.0010520779508036426,-0.004844300130948387
2000-03-15,-0.0003509387647882001,-0.028141146473613876
2000-03-16,-0.001053555848110399,-0.002142857962828426
2000-03-17,-0.0010546669987978596,-0.0035816657200116175
2000-03-21,-0.0014079551780286081,-0.11147894395839053
2000-03-22,-0.00035229875298314894,0.03313912712880729
2000-03-23,-0.0007049700679697679,-0.01761642738829794
2000-03-24,-0.0007054674013926565,0.016451604892004923
2000-03-28,-0.0010591351387261305,-0.037202548997044005
2000-03-29,-0.0007067138103322712,-0.04241937179883415
2000-03-30,-0.0007072136079768754,0.007126418757724906
2000-03-31,0.006698420956207318,0.0016694494695408402
2000-04-04,0.011181108797515549,-0.030485002508849668
2000-04-05,-0.0006951686063758622,-0.012110874669908789
2000-04-06,-0.0013917886728225248,-0.0034873618604156498
2000-04-07,-0.0013937284486038592,-0.011860450914748188
2000-04-11,-0.001744896621395764,-0.07237589951705559
2000-04-12,-0.001398112775803373,0.01649036189941544
2000-04-13,-0.0010498688628368669,0.056768929901237275
2000-04-14,-0.001050972245975057,-0.023225697866084527
2000-04-18,0.0024505526003983924,0.02410831045647921
2000-04-19,0.006273983633414915,0.0359579566306758
2000-04-20,-0.005574927330917134,0.0029742957979261853
2000-04-21,-0.0010487677940842488,
2000-04-25,-0.002100841108811924,
2000-04-26,0.0,-0.019888247399832082
2000-04-27,-0.0024565725637022418,0.007396161625468078
2000-04-28,-0.0010546669987978596,0.030732252129204163
2000-05-04,-0.001760253931011757,0.05200762515305568
2000-05-05,-0.0007049700679697679,-0.00520105193245568
2000-05-11,-0.0007054674013926565,0.08788009968785371
2000-05-12,-0.0007059654370151769,0.0275379720140152
2000-05-16,-0.0014134277971469267,0.028190732221886616
2000-05-17,-0.00035366932287317354,-0.013291556292061468
2000-05-18,0.0,0.01745244995122608
2000-05-19,0.0021201421369263507,0.0037990030149264165
2000-05-23,-0.0010595091932334988,-0.0311595311908488
2000-05-24,-0.0003534193357159765,0.029779744838795086
2000-05-25,-0.00035354428510370184,0.0221889970583935
2000-05-26,0.0,0.015743081802300996
2000-05-30,-0.00035366932287317354,-0.006668914346107169
2000-05-31,-0.0007077141130489295,-0.008399175867960462
2000-06-01,-0.0007082153270521196,0.0016854883477823712
2000-06-02,0.0007082153270521196,-0.0115177425015629
2000-06-06,0.0031807766700842066,-0.03219942360515082
2000-06-07,-0.0007059654370151769,-0.0035248538434355936
2000-06-08,-0.0007064641763272483,0.03538350388931644
2000-06-09,-0.0010606329436928519,-0.011655942728361346
2000-06-14,0.005643753957409459,0.03789357294521878
2000-06-15,-0.003523611820483108,-0.01168822790400803
2000-06-16,-0.0014129285289494753,-0.03730115929626532
2000-06-20,-0.0017689726884344559,0.006256537614305113
2000-06-21,-0.00035417035964346866,0.06213178110700612
2000-06-22,-0.0003542958407298791,-0.003261581495409782
2000-06-23,-0.001063641298646889,0.013305404791071673
2000-06-27,-0.002130682624255531,-0.017889564750774856
2000-06-28,-0.0007112375833249196,0.022071652235844397
2000-06-29,-0.0007117438022885558,-0.003215436853974296
2000-06-30,-0.0007122507423611424,0.01692520044800805
2000-07-04,-0.0014260251970941162,-0.02728463268510284
2000-07-05,0.0,-0.012442858636885656
2000-07-06,0.0,0.010488460620652784
2000-07-07,-0.0007137759046798031,-0.001631587896622655
2000-07-11,-0.001429082058148623,-0.02613879170288058
2000-07-12,-0.0017892293196966058,0.014642524506970123
2000-07-13,-0.0007165890668519026,0.028657122199835072
2000-07-14,-0.0010758473334631091,-0.010650415341492359
2000-07-18,-0.001436265956057614,-0.07966423723026361
2000-07-19,-0.0007189072919255857,-0.004578278819280968
